status,result_json,reason,model_label,dataset,seed,protocol_train,protocol_eval,ablation,config_hash,checkpoint
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed4_398a872c84d4.json,,OUT_OF_SCOPE,cora,4.0,degree_corrected,heart,A14,398a872c84d4,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed4_398a872c84d4.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed5_f37d6c0980af.json,,OUT_OF_SCOPE,cora,5.0,degree_corrected,heart,A14,f37d6c0980af,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed5_f37d6c0980af.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed6_c786468ffb4b.json,,OUT_OF_SCOPE,cora,6.0,degree_corrected,heart,A14,c786468ffb4b,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed6_c786468ffb4b.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed7_ca09ce73b5c2.json,,OUT_OF_SCOPE,cora,7.0,degree_corrected,heart,A14,ca09ce73b5c2,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed7_ca09ce73b5c2.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed8_724aa841caf9.json,,OUT_OF_SCOPE,cora,8.0,degree_corrected,heart,A14,724aa841caf9,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed8_724aa841caf9.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed9_097db0949c83.json,,OUT_OF_SCOPE,cora,9.0,degree_corrected,heart,A14,097db0949c83,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed9_097db0949c83.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed0_b2291f723cce.json,,OUT_OF_SCOPE,cora,0.0,mix,heart,A14,b2291f723cce,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed0_b2291f723cce.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed1_bf73ae17657b.json,,OUT_OF_SCOPE,cora,1.0,mix,heart,A14,bf73ae17657b,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed1_bf73ae17657b.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed2_b5f526389ec9.json,,OUT_OF_SCOPE,cora,2.0,mix,heart,A14,b5f526389ec9,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed2_b5f526389ec9.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed3_9a8c05a4f7a8.json,,OUT_OF_SCOPE,cora,3.0,mix,heart,A14,9a8c05a4f7a8,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed3_9a8c05a4f7a8.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed4_85f9fa945f46.json,,OUT_OF_SCOPE,cora,4.0,mix,heart,A14,85f9fa945f46,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed4_85f9fa945f46.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed5_ee4b009b99b1.json,,OUT_OF_SCOPE,cora,5.0,mix,heart,A14,ee4b009b99b1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed5_ee4b009b99b1.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed6_645c7864997a.json,,OUT_OF_SCOPE,cora,6.0,mix,heart,A14,645c7864997a,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed6_645c7864997a.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed7_e74ef9f9ef99.json,,OUT_OF_SCOPE,cora,7.0,mix,heart,A14,e74ef9f9ef99,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed7_e74ef9f9ef99.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed8_2fd298779998.json,,OUT_OF_SCOPE,cora,8.0,mix,heart,A14,2fd298779998,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed8_2fd298779998.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed9_7d54331ecb50.json,,OUT_OF_SCOPE,cora,9.0,mix,heart,A14,7d54331ecb50,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed9_7d54331ecb50.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed0_23a632f463c1.json,,OUT_OF_SCOPE,cora,0.0,uniform,heart,A14,23a632f463c1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed0_23a632f463c1.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed1_11681571da65.json,,OUT_OF_SCOPE,cora,1.0,uniform,heart,A14,11681571da65,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed1_11681571da65.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed2_7b0f33f8e14d.json,,OUT_OF_SCOPE,cora,2.0,uniform,heart,A14,7b0f33f8e14d,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed2_7b0f33f8e14d.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed3_38425fa0399e.json,,OUT_OF_SCOPE,cora,3.0,uniform,heart,A14,38425fa0399e,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed3_38425fa0399e.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed4_338ee7f35b81.json,,OUT_OF_SCOPE,cora,4.0,uniform,heart,A14,338ee7f35b81,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed4_338ee7f35b81.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed5_9f080178d754.json,,OUT_OF_SCOPE,cora,5.0,uniform,heart,A14,9f080178d754,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed5_9f080178d754.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed6_4a1664d27a7b.json,,OUT_OF_SCOPE,cora,6.0,uniform,heart,A14,4a1664d27a7b,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed6_4a1664d27a7b.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed7_8a4204a168eb.json,,OUT_OF_SCOPE,cora,7.0,uniform,heart,A14,8a4204a168eb,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed7_8a4204a168eb.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed8_6b9ef82f3d7a.json,,OUT_OF_SCOPE,cora,8.0,uniform,heart,A14,6b9ef82f3d7a,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed8_6b9ef82f3d7a.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed9_ca7907248613.json,,OUT_OF_SCOPE,cora,9.0,uniform,heart,A14,ca7907248613,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed9_ca7907248613.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\smoke_uniform_seed0_1522611c63c9.json,,OUT_OF_SCOPE,smoke,0.0,uniform,standard,A14,1522611c63c9,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\smoke_uniform_seed0_1522611c63c9.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\smoke_uniform_seed20260717_f8956eb94f2d.json,,OUT_OF_SCOPE,smoke,20260717.0,uniform,standard,A14,f8956eb94f2d,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\smoke_uniform_seed20260717_f8956eb94f2d.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\smoke_uniform_seed2026_d5f5a7f6b2a6.json,,OUT_OF_SCOPE,smoke,2026.0,uniform,standard,A14,d5f5a7f6b2a6,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\smoke_uniform_seed2026_d5f5a7f6b2a6.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\smoke_uniform_seed2027_8f7a6f898af9.json,,OUT_OF_SCOPE,smoke,2027.0,uniform,standard,A14,8f7a6f898af9,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\smoke_uniform_seed2027_8f7a6f898af9.pt
